,Year,State,BEV sales_x,PHEV sales_x,Total_x,BEV sales_y,PHEV sales_y,Total_y,Gasoline Price,Median Income,Population,Renewable Energy Use,Total Energy Use,Transportation Energy Use,Stations Opened,Lithium Price
0,2011,AR,2,20,22,2,20,22,27.86,23039.0,2941038.0,124987.0,47928.0,284546.0,18.0,946
1,2011,IL,69,259,328,69,259,328,28.71,32857.0,12867783.0,313512.0,142886.0,985537.0,11.0,946
2,2011,IN,5,89,94,5,89,94,27.74,29475.0,6517250.0,222942.0,105818.0,581270.0,5.0,946
3,2011,IA,2,47,49,2,47,49,28.21,28663.0,3066772.0,668883.0,45655.0,307194.0,18.0,946
4,2011,LA,2,25,27,2,25,27,27.68,26312.0,4576244.0,112139.0,86369.0,622556.0,3.0,946
5,2011,MI,18,517,535,18,517,535,28.03,32662.0,9883053.0,162105.0,105054.0,736892.0,42.0,946
6,2011,MN,9,336,345,9,336,345,29.32,33682.0,5346620.0,310099.0,68533.0,458085.0,22.0,946
7,2011,MS,2,10,12,2,10,12,27.63,22191.0,2979147.0,66403.0,49338.0,321859.0,,946
8,2011,MO,1,85,86,1,85,86,27.38,28682.0,6011182.0,103120.0,84255.0,563706.0,16.0,946
9,2011,ND,1,11,12,1,11,12,29.95,28118.0,685526.0,132334.0,13737.0,112880.0,,946
10,2011,WI,2,91,93,2,91,93,29.64,31766.0,5705840.0,208301.0,68612.0,420456.0,27.0,946
11,2012,AR,8,111,119,8,111,119,28.32,23882.0,2952876.0,114237.0,46860.0,275070.0,,744
12,2012,IL,371,1239,1610,371,1239,1610,29.31,31551.0,12883029.0,325082.0,143540.0,953332.0,91.0,744
13,2012,IN,90,278,368,90,278,368,28.32,28530.0,6538989.0,197464.0,105173.0,569694.0,38.0,744
14,2012,IA,49,292,341,49,292,341,28.8,28743.0,3076844.0,677166.0,45709.0,291495.0,12.0,744
15,2012,LA,36,136,172,36,136,172,28.14,25439.0,4602067.0,109589.0,84731.0,564410.0,25.0,744
16,2012,MI,126,1860,1986,126,1860,1986,28.62,32267.0,9898289.0,162394.0,104818.0,725628.0,37.0,744
17,2012,MN,113,1092,1205,113,1092,1205,29.43,30981.0,5377500.0,306238.0,67989.0,465948.0,21.0,744
18,2012,MS,21,58,79,21,58,79,28.09,20570.0,2984599.0,79602.0,48388.0,347785.0,23.0,744
